	bib_id	title	journal	volume	number	pages	year	publisher	authors
0	veronica2011digital	Digital library deployment in a university: challenges and prospects	Library Hi Tech	29	2	373--386	2011-06-14	Emerald Group Publishing Limited	['Veronica Anunobi, Chinwe', 'Ignatius Ezeani, Majesty']
1	onyenwe2015use	Use of transformation-based learning in annotation pipeline of igbo, an african language	None	None	None	24--33	2015-01-01	None	['Onyenwe, Ikechukwu', 'Hepple, Mark', 'Uchechukwu, Chinedu', 'Ezeani, Ignatius']
2	onyesolu2012atm	ATM security using fingerprint biometric identifer: An investigative study	International Journal of Advanced Computer science and applications	3	4	68--72	2012-04-01	Science and Information (SAI) Organization Limited	['Onyesolu, Moses Okechukwu', 'Ezeani, Ignatius Majesty']
3	onyesolu2012survey	A survey of some virtual reality tools and resources	Virtual reality and environments	21	None	42	2012	Croatia: InTech	['Onyesolu, Moses Okechukwu', 'Ezeani, Ignatius', 'Okonkwo, Obikwelu Raphael']
4	ezeani2016automatic	Automatic restoration of diacritics for Igbo language	None	None	None	198--205	2016	None	['Ezeani, Ignatius', 'Hepple, Mark', 'Onyenwe, Ikechukwu']
5	onyenwe2018basic	A Basic Language Resource Kit Implementation for the Igbo NLP Project	ACM Transactions on Asian and Low-Resource Language Information Processing (TALLIP)	17	2	1--23	2018	ACM New York, NY, USA	['Onyenwe, Ikechukwu E', 'Hepple, Mark', 'Chinedu, Uchechukwu', 'Ezeani, Ignatius']
6	ezeani2017lexical	Lexical disambiguation of Igbo using diacritic restoration	None	None	None	53--60	2017	None	['Ezeani, Ignatius', 'Hepple, Mr', 'Onyenwe, Ikechukwu']
7	ezeani2018multi	Multi-task Projected Embedding for Igbo	None	None	None	285--294	2018	None	['Ezeani, Ignatius', 'Hepple, Mark', 'Onyenwe, Ikechukwu', 'Enemuo, Chioma']
8	okechukwu2012survey	A survey of some virtual reality tools and resources	Virtual Reality and Environments, CS L{\'a}nyi (Ed.). InTech	None	None	None	2012	None	['Okechukwu, Onyesolu Moses', 'Ezeani, Ignatius', 'Okonkwo, Obikwelu Raphael']
9	ezeani2018transferred	Transferred embeddings for igbo similarity, analogy, and diacritic restoration tasks	None	None	None	30--38	2018	None	['Ezeani, Ignatius', 'Onyenwe, Ikechukwu', 'Hepple, Mark']
10	onyesolu2012simulating	Simulating desktop virtual reality for higher education	International Journal of Ubiquitous Sciences	1	1	1--6	2012	None	['Onyesolu, Moses O', 'Oladipo, Of', 'Ezeani, Im']
11	ezeani2018igbo	Igbo diacritic restoration using embedding models	None	None	None	54--60	2018	None	['Ezeani, Ignatius', 'Hepple, Mark', 'Onyenwe, Ikechukwu', 'Chioma, Enemouh']
